area_type,location,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
Super built-up  Area,Electronic City Phase II,2,1056.0,2,1,39.07,344.0,3699.811
Plot  Area,Chikka Tirupathi,4,2600.0,5,3,120.0,728.0,4615.385
Built-up  Area,Uttarahalli,3,1440.0,2,3,62.0,476.0,4305.556
Super built-up  Area,Lingadheeranahalli,3,1521.0,3,1,95.0,516.0,6245.891
Super built-up  Area,Kothanur,2,1200.0,2,1,51.0,344.0,4250.0
Super built-up  Area,Whitefield,2,1170.0,2,1,38.0,344.0,3247.863
Super built-up  Area,Marathahalli,3,1310.0,3,1,63.25,516.0,4828.244
Super built-up  Area,Whitefield,3,1800.0,2,2,70.0,476.0,3888.889
Super built-up  Area,7th Phase JP Nagar,2,1000.0,2,1,38.0,344.0,3800.0
Built-up  Area,Gottigere,2,1100.0,2,2,40.0,344.0,3636.364
Plot  Area,Sarjapur,3,2250.0,3,2,148.0,516.0,6577.778
Super built-up  Area,Mysore Road,2,1175.0,2,2,73.5,344.0,6255.319
Super built-up  Area,Bisuvanahalli,3,1180.0,3,2,48.0,516.0,4067.797
Super built-up  Area,Raja Rajeshwari Nagar,3,1540.0,3,3,60.0,516.0,3896.104
Super built-up  Area,Manayata Tech Park,2,1100.0,2,2,48.0,344.0,4363.636
Built-up  Area,Kengeri,1,600.0,1,1,15.0,172.0,2500.0
Super built-up  Area,Binny Pete,3,1755.0,3,1,122.0,516.0,6951.567
Super built-up  Area,Bellandur,3,1767.0,3,1,103.0,516.0,5829.089
Super built-up  Area, Thanisandra,1,510.0,1,0,25.25,172.0,4950.98
Super built-up  Area,Mangammanapalya,3,1250.0,3,2,56.0,516.0,4480.0
Super built-up  Area,Electronic City,2,660.0,1,1,23.1,304.0,3500.0
Built-up  Area,Whitefield,3,1610.0,3,2,81.0,516.0,5031.056
Super built-up  Area,Ramagondanahalli,2,1151.0,2,2,48.77,344.0,4237.185
Super built-up  Area,Electronic City,3,1025.0,2,1,47.0,476.0,4585.366
Super built-up  Area,Yelahanka,4,2475.0,4,0,186.0,688.0,7515.152
Super built-up  Area,Bisuvanahalli,3,1075.0,2,1,35.0,476.0,3255.814
Super built-up  Area,Hebbal,3,1760.0,2,2,123.0,476.0,6988.636
Super built-up  Area,Raja Rajeshwari Nagar,3,1693.0,3,3,57.39,516.0,3389.841
Super built-up  Area,Kanakpura Road,2,700.0,2,1,36.0,344.0,5142.857
Super built-up  Area,Electronics City Phase 1,2,1070.0,2,1,45.5,344.0,4252.336
Super built-up  Area,Kundalahalli,3,1724.0,3,2,125.0,516.0,7250.58
Super built-up  Area,Chikkalasandra,3,1290.0,2,2,56.12,476.0,4350.388
Built-up  Area,Uttarahalli,2,1143.0,2,2,45.0,344.0,3937.008
Super built-up  Area,Sarjapur  Road,3,1254.0,3,2,38.0,516.0,3030.303
Super built-up  Area,Ganga Nagar,1,600.0,1,0,38.0,172.0,6333.333
Plot  Area,Yelahanka,1,660.0,1,0,48.0,172.0,7272.727
Super built-up  Area,Kanakpura Road,2,1330.74,2,2,91.79,344.0,6897.666
Super built-up  Area,Doddathoguru,2,970.0,2,0,33.0,344.0,3402.062
Super built-up  Area,Whitefield,2,1459.0,2,1,94.82,344.0,6498.972
Built-up  Area,Himagiri Meadows,2,869.0,2,1,36.0,344.0,4142.693
Super built-up  Area,Adarsh Nagar,2,1270.0,2,1,50.0,344.0,3937.008
Super built-up  Area,Bhoganhalli,3,1670.0,3,1,99.0,516.0,5928.144
Built-up  Area,Whitefield,3,2010.0,3,2,91.0,516.0,4527.363
Super built-up  Area,Lakshminarayana Pura,2,1185.0,2,2,75.0,344.0,6329.114
Super built-up  Area,Yelahanka,3,1600.0,2,3,75.0,476.0,4687.5
Super built-up  Area,Begur Road,2,1200.0,2,2,44.0,344.0,3666.667
Super built-up  Area,Govindaraja Nagar Ward,2,840.0,2,2,45.0,344.0,5357.143
Plot  Area,Tharabanahalli,3,4395.0,3,2,240.0,516.0,5460.751
Super built-up  Area,Ganga Nagar,2,845.0,2,1,55.0,344.0,6508.876
Built-up  Area,Varthur,2,1160.0,2,2,44.0,344.0,3793.103
Super built-up  Area,Doddathoguru,2,1100.0,2,1,62.0,344.0,5636.364
Super built-up  Area,Gunjur,2,1140.0,2,3,43.0,344.0,3771.93
Super built-up  Area,Marathahalli,2,1220.0,2,1,57.0,344.0,4672.131
Super built-up  Area,Kanakpura Road,2,1005.0,2,1,36.68,344.0,3649.751
Super built-up  Area,Begur Road,2,1358.0,2,1,80.58,344.0,5933.726
Super built-up  Area,Hegde Nagar,3,1569.0,3,1,101.0,516.0,6437.221
Super built-up  Area,Haralur Road,2,1240.0,2,1,70.0,344.0,5645.161
Super built-up  Area,Hennur Road,3,2089.0,3,2,140.0,516.0,6701.771
Super built-up  Area,Kothannur,2,1206.0,2,1,48.23,344.0,3999.171
Super built-up  Area,Kalena Agrahara,2,1150.0,2,3,40.0,344.0,3478.261
Built-up  Area,Cholanayakanahalli,3,2511.0,3,3,205.0,516.0,8164.078
Built-up  Area,Kaval Byrasandra,2,460.0,1,0,22.0,304.0,4782.609
Super built-up  Area,Kodanda Reddy Layout,3,1660.0,2,2,105.0,476.0,6325.301
Super built-up  Area,Yelahanka,2,1326.0,2,2,78.0,344.0,5882.353
Super built-up  Area,Garudachar Palya,3,1325.0,2,2,60.8,476.0,4588.679
Super built-up  Area,EPIP Zone,3,1499.0,5,2,102.0,596.0,6804.536
Super built-up  Area,Kanakpura Road,3,1665.0,3,2,88.0,516.0,5285.285
Super built-up  Area,Dasanapura,2,708.0,2,2,37.0,344.0,5225.989
Super built-up  Area,Kasavanhalli,2,1060.0,2,2,58.06,344.0,5477.358
Built-up  Area,Sanjay nagar,2,1000.0,2,2,70.0,344.0,7000.0
Super built-up  Area,Electronic City,2,1000.0,2,1,28.88,344.0,2888.0
Super built-up  Area, Mysore Highway,3,1450.0,2,2,70.0,476.0,4827.586
Super built-up  Area,Thanisandra,2,1296.0,2,3,80.0,344.0,6172.84
Super built-up  Area,Domlur,3,1540.0,3,2,90.0,516.0,5844.156
Plot  Area,Kengeri,4,2894.0,4,1,245.0,688.0,8465.791
Super built-up  Area,Sarjapura - Attibele Road,3,1330.0,2,1,48.0,476.0,3609.023
Built-up  Area,Devasthanagalu,2,1200.0,2,1,65.0,344.0,5416.667
Built-up  Area,T Dasarahalli,3,1200.0,3,1,90.0,516.0,7500.0
Super built-up  Area,Yeshwanthpur,3,2502.0,3,3,138.0,516.0,5515.588
Built-up  Area,Chandapura,2,650.0,1,1,17.0,304.0,2615.385
Plot  Area,Kothanur,3,2400.0,2,1,150.0,476.0,6250.0
